doi,title,authors,editors,year,publication_date,journal_name,publisher,work_type,language,is_open_access,abstract,subjects,source_url,citation_count,relation,source_db,relevance_score
10.4324/9780203138687,Maurice Blanchot,Ullrich Haase | William Large,,2001,2001-02-15,Routledge eBooks,,book,en,False,"Without Maurice Blanchot, literary theory as we know it today would have been unthinkable. Jacques Derrida, Paul de Man, Michel Foucault, Roland Barthes, Gilles Deleuze: all are key theorists crucially influenced by Blanchot's work.This accessible guide:* works 'idea by idea' through Blanchot's writings, anchoring them in historical and intellectual contexts* examines Blanchot's understanding of literature, death, ethics and politics and the relationship between these themes* unravels even Blanchot's most complex ideas for the beginner* sketches the lasting impact of Blanchot's work on the field of critical theory.For those trying to come to grips with contemporary literary theory and modern French thought, the best advice is to start at the beginning: begin with Blanchot, and begin with this guide.",Philosophy,https://openalex.org/W4243232760,15.0,,OpenAlex,119
10.2307/3736058,Maurice Blanchot: The Demand of Writing,Paul Hegarty | Carolyn Bailey Gill,,1999,1999-01-01,The Modern Language Review,,article,en,False,"List of Contributors. Acknowledgements. A note on the translations. Introduction Leslie Hill, 1. Roger Laporte, Reader of Blanchot Ian Maclachlan, 2. Maurice Blanchot Today Roger Laporte, 3. The Felicities of Paradox: Blanchot on the Null-Space of Literature Rodolphe Gasche, 4. Crossing the Threshold: on 'literature and the Right to Death' Christopher Fynsk, 5. The Work and the Absence of the Work Paul Davies, 6. Il y a - Holding Levinas's Hand to Blanchot's Fire Simon Critchley, 7. Conversation Ann Smock, 8. On Unworking: the Image in Writing According to Blanchot Marie-Claire Ropars-Wuilleumier, 9. The Trace of Trauma: Blindness, Testimony and the Gaze in Blanchot and Derrida Michael Newman, 10. 'A Wound to Thought' Michael Holland, 11. Potter's Field: Death Worked and Unworked Gillian Rose, 12. A Letter Maurice Blanchot, 13. Pour Sainte-Beuve: Maurice Blanchot, March 10, 1942 Jeffrey Mehlman",Art | History | Literature,https://openalex.org/W2070379609,66.0,,OpenAlex,119
10.1093/obo/9780190221911-0061,Maurice Blanchot,Adam Potts,,2018,2018-02-22,Literary and Critical Theory,Oxford University Press,reference-entry,en,False,"Maurice Blanchot (b. 1907–d. 2003) is a profoundly unique and influential figure of the 20th century. Sitting between philosophy and literature, his work explores the philosophical significance of literature by considering the demand it places on thought. For Blanchot, when thought is pushed to its absolute limit, we encounter the impossible, the singular, the outside—a radical region that is unthematizable. This, he argues, is ultimately the region of literature. Where everyday language tries to represent the world and where philosophical language tries to secure meaning, literary language, by contrast, is subversive as it does not carry the responsibility of representation or clarification. Words are not self-identical in literature, which means that the space of literature, as Blanchot refers to it, is characterized by an “atmosphere of uncertainty” (Blanchot 1985, p. 52, cited under Récit). This uncertainty is what drags us to the limit of possibility. Somewhat paradoxically, this limit/impossibility is not an invitation to nihilism, but rather the very condition of thought itself. It is no exaggeration to say that to understand Blanchot one must come to terms with this idea. Not only does this idea occupy his writing, but he also sees it in poets like Mallarmé, Rilke, Lautréamont; in the surrealists; and in novelists like Kafka, Proust, and Beckett. Much of his writing is dedicated to such figures. Given this demand placed on thought by literature, literature has the capacity to raise profound philosophical questions. Literature works like a springboard for Blanchot, impelling him to engage with the limit as it exists in philosophical figures like Heraclitus, Hegel, Kierkegaard, Nietzsche, Heidegger, and Weil. Of particular importance are his engagements with Emmanuel Levinas and Georges Bataille. In Levinas’s account of the Other, Blanchot sees the ethical and political impetus of literature. In Bataille’s work, Blanchot sees a companion of the unthinkable and an explorer of the impossible. Such a range of topics means Blanchot’s writing is voluminous and varied, comprising his early journalism, his critical writings, his own works of fiction, and his fragmentary texts. In these writings, Blanchot shows himself to be an attentive, nuanced, and very demanding thinker. Reading Blanchot requires that we read with the historical, political, and cultural contexts in view, where disaster (e.g., the Second World War) looms or echoes and where culture is at a breaking point. This article will offer a selective bibliography to help one grapple with the demands Blanchot places on us and on thought itself.",Art | Atmosphere (unit) | Epistemology | Impossibility | Law | Linguistics | Literature | Meaning (existential) | Nihilism | Philosophy | Physics | Political science | Politics | Representation (politics) | Space (punctuation) | Thermodynamics,https://openalex.org/W4234452824,1.0,,"Crossref, OpenAlex",117
10.5422/fordham/9780823281763.001.0001,Maurice Blanchot,Christophe Bident,,2018,2018-11-20,Fordham University Press eBooks,Fordham University Press,book,en,False,"Maurice Blanchot (1907–2003) was one of the most important writers of the French twentieth century. His novels, shorter narratives, literary criticism, and fragmentary texts exercised great influence over writers, artists, and philosophers. As a journalist and political activist, he had a public side that matched his secret and mysterious side as someone who refused to be interviewed or photographed. <italic>Maurice Blanchot: A Critical Biography</italic>, the only full-length account of Blanchot’s itinerary, therefore attempts to carry out an impossible bio-graphy. It does so by drawing on unpublished letters and on interviews with the writer’s very close friends. Beyond this, it is a theoretical work that follows the genealogy of a thinking that is at once imaginative and speculative, at once aligned with literary modernity and a close companion and friend of philosophy. It is a historical work, unpacking the ‘transformation of convictions’ of an author who moved from the far-right in the 1930s to the far-left in the 1950s and after. And it is of course a biography, showing the strong links between the author’s life and an œuvre which nonetheless aspires to anonymity. In these ways, this book claims that Blanchot’s is a life that has become the œuvre, become a literature that bears the traces of that life secretly, even if they are what drives it. Blanchot’s œuvre is reconstituted in all its contexts, at a time when the critics who attack it, just like those who elevate it in unthinking fascination, often produce one-dimensional readings.",Art | Art history | Biography | Criticism | Epistemology | History | Law | Literature | Modernity | Narrative | Philosophy | Political science | Politics,https://openalex.org/W4253588740,2.0,,"Crossref, OpenAlex",115
10.1093/fs/58.4.533,Maurice Blanchot,M. Holland,,2004,2004-10-01,French Studies,Liverpool University Press,article,en,False,"Journal Article Maurice Blanchot Get access Michael Holland Michael Holland St Hugh's College, Oxford Search for other works by this author on: Oxford Academic Google Scholar French Studies, Volume 58, Issue 4, October 2004, Pages 533–538, https://doi.org/10.1093/fs/58.4.533 Published: 01 October 2004",Art | Art history | History | Performance art,https://openalex.org/W4233694799,4.0,,"Crossref, OpenAlex",115
,Maurice Blanchot,Roger-Michel Allemand,,2012,,,,NOTICE,,,,,,,,HAL,110
10.5040/9781350105324.ch-007,MAURICE BLANCHOT,,,2020,,Hope,Bloomsbury Academic,book-chapter,,False,,,https://doi.org/10.5040/9781350105324.ch-007,0.0,,Crossref,110
10.56021/9780801854712,Maurice Blanchot,Gerald L. Bruns,,2002,2002-01-01,Johns Hopkins University Press eBooks,Johns Hopkins University Press,book,en,False,,Philosophy,https://openalex.org/W4312334662,1.0,,"Crossref, OpenAlex",110
10.1515/9780823281787,Maurice Blanchot,Christophe Bident | John McKeane,,2019,2019-01-01,,Fordham University Press,book,en,False,,History | Philosophy,https://openalex.org/W4234171831,6.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/j.ctv8d5tnj', 'asserted-by': 'subject'}]}","Crossref, OpenAlex",110
10.1515/9781438474014-006,Maurice Blanchot,,,2019,2019-05-31,SUNY Press eBooks,SUNY Press,book-chapter,en,False,,Philosophy,https://openalex.org/W4392801543,0.0,,"Crossref, OpenAlex",110
10.2307/j.ctv8d5tnj,Maurice Blanchot,Christophe Bident,,2018,,,Fordham University Press,monograph,,False,,,https://doi.org/10.2307/j.ctv8d5tnj,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9780823281787', 'asserted-by': 'object'}]}",Crossref,110
10.30965/9783846750131_008,Maurice Blanchot,Knut Ebeling,,2011,2011-01-01,Brill | Fink eBooks,,book-chapter,en,False,,History | Philosophy,https://openalex.org/W4231844945,0.0,,OpenAlex,110
10.2307/jj.27374506,Maurice Blanchot,,,2022,2022-01-01,,,book,en,False,,Philosophy,https://openalex.org/W4409153552,0.0,,OpenAlex,110
10.1515/9783839447901-004,Maurice Blanchot,,,2020,2020-12-31,transcript Verlag eBooks,transcript Verlag,book-chapter,en,False,,Philosophy,https://openalex.org/W4243118362,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.14361/9783839447901-004', 'asserted-by': 'subject'}]}","Crossref, OpenAlex",110
10.14361/9783839447901-004,Maurice Blanchot,Ralf Rother,,2020,,Edition Moderne Postmoderne,transcript Verlag,book-chapter,de,False,,,https://doi.org/10.14361/9783839447901-004,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9783839447901-004', 'asserted-by': 'object'}]}",Crossref,110
10.2307/3685569,Blanchot: Extreme Contemporary,Stuart Kendall | Leslie Hill,,2000,2000-01-01,SubStance,,article,en,False,"Blanchot provides a compelling insight into one of the key figures in the development of postmodern thought. Although Blanchot's work is characterised by a fragmentary and complex style, Leslie Hill introduces clearly and accessibly the key themes in his work. He shows how Blanchot questions the very existence of philosophy and literature and how we may distinguish between them, stresses the importance of his political writings and the relationship between writing and history that characterised Blanchot's later work; and considers the relationship between Blanchot and key figures such as Emmanuel Levinas and Georges Bataille and how this impacted on his work. Placing Blanchot at the centre stage of writing in the twentieth century, Blanchot also sheds new light on Blanchot's political activities before and after the Second World War. This accessible introduction to Blanchot's thought also includes one of the most comprehensive bibliographies of his writings of the last twenty years.",Ancient history | Art | Computer science | Computer security | Epistemology | History | Key (lock) | Law | Literature | Philosophy | Physics | Political science | Politics | Post war | Postmodernism | Style (visual arts) | Thermodynamics | Work (physics),https://openalex.org/W2005118297,57.0,,OpenAlex,109
10.2307/3735658,Blanchot: Extreme Contemporary,Michael Holland | Leslie Hill,,2002,2002-01-01,The Modern Language Review,,article,en,False,,History,https://openalex.org/W2330922818,30.0,,OpenAlex,107
10.2307/3685423,Blanchot: Extreme Contemporary,Steven Jaron | Leslie Hill,,1999,1999-01-01,SubStance,,article,en,False,,History,https://openalex.org/W4292793485,51.0,,OpenAlex,107
10.1515/9780823254712-003,Introduction,,,2020,,The Imperative to Write,Fordham University Press,book-chapter,,False,,,https://doi.org/10.1515/9780823254712-003,0.0,,Crossref,100
10.1515/9780823264605-002,Introduction,Aristide Bianchi | Leonid Kharlamov,,2020,,Ending and Unending Agony,Fordham University Press,book-chapter,,False,,,https://doi.org/10.1515/9780823264605-002,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/j.ctt1657v2v.4', 'asserted-by': 'subject'}]}",Crossref,100
10.1515/9781438423081-003,Introduction,,,1999,,Radical Passivity,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438423081-003,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18254837.5', 'asserted-by': 'subject'}]}",Crossref,100
10.1515/9781474499644-002,Introduction,,,2023,,"Blanchot, Ecology and Contemporary Fiction",Edinburgh University Press,book-chapter,,False,,,https://doi.org/10.1515/9781474499644-002,0.0,,Crossref,100
10.2307/jj.18254837.5,Introduction,,,1999,,Radical Passivity,State University of New York Press,book-chapter,,False,,,https://doi.org/10.2307/jj.18254837.5,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9781438423081-003', 'asserted-by': 'object'}]}",Crossref,100
10.5422/fordham/9780823264575.003.0001,Introduction,Philippe Lacoue-Labarthe | Hannes Opelz,,2015,,Ending and Unending Agony,Fordham University Press,book-chapter,,False,,,https://doi.org/10.5422/fordham/9780823264575.003.0001,0.0,,Crossref,100
10.5040/9781350349087.0007,Introduction,,,2023,,Maurice Blanchot on Poetry and Narrative,Bloomsbury Academic,book-chapter,,False,,,https://doi.org/10.5040/9781350349087.0007,0.0,,Crossref,100
10.1515/9781438489018-003,Introduction,,,2022,,The Writing of Innocence,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438489018-003,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18252769.5', 'asserted-by': 'object'}]}",Crossref,100
10.2307/j.ctt1657v2v.4,Introduction,Aristide Bianchi | Leonid Kharlamov,,2015,,Ending and Unending Agony,Fordham University Press,book-chapter,,False,,,https://doi.org/10.2307/j.ctt1657v2v.4,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9780823264605-002', 'asserted-by': 'object'}]}",Crossref,100
10.1515/9781438478197-002,Introduction,,,2020,,Time in Exile,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438478197-002,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18252903.4', 'asserted-by': 'object'}]}",Crossref,100
